,equity,benchmark,exposure
2021-04-22,1007341.8785255025,999999.9999999999,0.9404373020926867
2021-04-23,1004422.3550243695,997819.8054076714,0.5092460794937346
2021-04-26,1008142.8501147607,1006989.7433053295,0.5110571795294347
2021-04-27,1012574.041682926,1018999.2065653277,0.5036788721853491
2021-04-28,1015223.6962224152,1031808.3025770406,0.49997225470432355
2021-04-29,1020791.4444152061,1033032.3025390472,0.5072153518454469
2021-04-30,1017920.3122321276,1019147.5580009439,0.5058254101715836
2021-05-03,1023949.3590707758,1021694.5662080866,0.5087351260888325
2021-05-04,1020091.7633196218,1013880.5588220686,0.49717097115754194
2021-05-05,1024340.3983894542,1023157.6349513084,0.5142957137466502
2021-05-06,1028251.2701098195,1030485.3748264436,0.5055513269159658
2021-05-07,1033156.1244292741,1035529.8066046252,0.5078986959655997
2021-05-10,1040245.6244674586,1044333.0113820082,0.510473032840053
2021-05-11,1039883.3724885795,1042053.8890010893,0.509548268597743
2021-05-12,1032158.468029434,1033456.8307384173,0.4966973025229897
2021-05-14,1027757.6526400659,1028033.1891863957,0.5037750271217314
2021-05-17,1033058.768689511,1044514.2850841284,0.5063213935508141
2021-05-18,1039949.2546891072,1058279.4952316242,0.5055543003999858
2021-05-19,1039545.568881767,1055798.492546568,0.5040057184287821
2021-05-20,1034275.2434049133,1049818.4727400816,0.5014782951773729
2021-05-21,1038279.0661569947,1064770.574867045,0.5034006998653177
2021-05-24,1036876.5153439343,1068446.8409636386,0.5027289653416187
2021-05-25,1039195.6999154957,1068492.1593891687,0.5041818172659566
2021-05-26,1041097.0444378345,1073371.8188457517,0.5050873247696558
2021-05-27,1042874.4064218511,1077002.605527737,0.5009227457645284
2021-05-28,1041248.8838968888,1081189.8509587261,0.500143622414672
2021-05-31,1045213.1294116055,1090199.0412617421,0.5020394591077689
2021-06-01,1047386.7789805948,1088884.4044486755,0.5030728803202628
2021-06-02,1052531.5021308907,1094147.2984060552,0.5055018360821097
2021-06-03,1057036.5025413441,1102905.104263369,0.5025494852606585
2021-06-04,1060368.0570352732,1104009.6503293072,0.5135431052782965
2021-06-07,1061376.3681214463,1111077.71482121,0.5141471569786583
2021-06-08,1061197.9100044267,1112470.6728208498,0.5140654527247234
2021-06-09,1058105.9720785515,1104215.7163494793,0.5126454820451687
2021-06-10,1063150.7427784197,1114172.810345287,0.5149580344365648
2021-06-11,1066156.3764135283,1118017.9539849747,0.5257049180078849
2021-06-14,1063100.7457883726,1117218.4822223382,0.5243416694318328
2021-06-15,1063834.3800572827,1121640.6107185078,0.5137237464378375
2021-06-16,1057547.93524531,1113628.747755309,0.5108331457099543
2021-06-17,1052118.7981360413,1106585.4755814583,0.5083089498435223
2021-06-18,1051882.6022344397,1103403.7679332776,0.49933015830906385
2021-06-21,1055312.338204463,1109136.5085155575,0.5078275809607121
2021-06-22,1056890.95676488,1112021.4327979668,0.508562711212937
2021-06-23,1055861.4665562268,1106437.043651303,0.5080835480906919
2021-06-24,1058641.6518376723,1110138.0215714094,0.5091794354152174
2021-06-25,1063341.1662101245,1116002.692703323,0.5019896440201931
2021-06-28,1063879.00122609,1115479.2367153622,0.5022414089365516
2021-06-29,1061911.0217414596,1111267.2794608604,0.5013189411633997
2021-06-30,1060591.7331702108,1110574.8654352664,0.5006986230890217
2021-07-01,1061371.9482253406,1108971.6556994198,0.5010656597833345
2021-07-02,1060120.4165974064,1112297.6095617209,0.5004766398028987
2021-07-05,1062957.2666643225,1119823.1245194979,0.5018097817101445
2021-07-06,1063064.0468101008,1118867.010383715,0.5018598227441667
2021-07-07,1066728.1244284604,1123552.9194846128,0.5035708719163883
2021-07-08,1062554.8553328905,1115450.4196703539,0.5016211068496962
2021-07-09,1065071.6316898922,1115058.8942320268,0.5027987818321001
2021-07-12,1066273.0395213477,1116793.954022968,0.503358996162929
2021-07-13,1068884.0088462725,1123375.670509449,0.5001213692233906
2021-07-14,1071562.6043897653,1126033.922169669,0.5013709207355469
2021-07-15,1072581.4642803783,1130917.6868477475,0.5018445753585985
2021-07-16,1071959.0191238343,1132731.067825262,0.49915811884901934
2021-07-19,1068795.9533715565,1122633.8328368296,0.5021270360359216
2021-07-20,1063872.4049104434,1112392.3516342766,0.49857155323137203
2021-07-22,1073743.2020316417,1126784.050779819,0.5031811269725474
2021-07-23,1074634.4547667569,1128168.7983364675,0.5035931658546794
2021-07-26,1076235.304279503,1127187.8918826329,0.5043315477265669
2021-07-27,1075519.7967754176,1121846.6767386799,0.49945767411820596
2021-07-28,1076404.6013640042,1119279.142424059,0.49986911991299426
2021-07-29,1081842.201237285,1124603.8561874903,0.5030042408999637
2021-07-30,1081225.8557314551,1126293.5975529016,0.5027209318198914
2021-08-02,1084540.940730107,1136139.367601093,0.49969429429117673
2021-08-03,1089510.1905738995,1148956.674055797,0.5019761857975171
2021-08-04,1087682.1877684742,1151441.7819623488,0.5011391867735664
2021-08-05,1088596.4391696677,1152447.4002396965,0.501558152132153
2021-08-06,1089075.785590752,1150230.1781593682,0.5017775366038817
2021-08-09,1087411.3889645813,1148614.5722644955,0.501014955123152
2021-08-10,1084507.6836594073,1145127.9513020916,0.4996789521202756
2021-08-11,1087042.0530489557,1143792.6273924687,0.500845418813203
2021-08-12,1091605.8475491474,1151656.1389200513,0.5017969116630061
2021-08-13,1093288.4754584294,1159350.6119154617,0.5025636721656035
2021-08-16,1095182.8682845514,1159803.9571598403,0.5034241127716348
2021-08-17,1100412.3081607637,1163290.5781222442,0.5057839680067855
2021-08-18,1099736.1969914457,1161844.0107595439,0.5008622828134341
2021-08-20,1091330.144652453,1149348.199494124,0.5017306454153657
2021-08-23,1091435.8569701854,1148243.653428186,0.5017789058861867
2021-08-24,1099814.285736363,1159181.6538778283,0.5048189260471238
2021-08-25,1098788.9167673336,1161683.2631649019,0.49966075300934676
2021-08-26,1097618.136577725,1162783.7040093443,0.5037395588607223
2021-08-27,1102754.1686525298,1169835.2671207255,0.5060508714048974
2021-08-30,1111235.2055619524,1186765.6835358804,0.5051288407240799
2021-08-31,1122568.0548342895,1199788.9755162175,0.5062859869477276
2021-09-01,1120491.7870161985,1199413.8709638729,0.5002161612748556
2021-09-02,1123940.7086209292,1210376.5832370282,0.5017497966933906
2021-09-03,1127546.98508514,1216554.4586206954,0.5033433692941254
2021-09-06,1129881.5071167736,1220391.3918173919,0.5043695440206228
2021-09-07,1127143.5381192944,1218611.0136009208,0.49851662523517837
2021-09-08,1126600.7284106258,1220205.932399237,0.5073512620018904
2021-09-09,1127086.6166249944,1222913.6882010219,0.5023231163137131
2021-09-13,1128529.741884259,1224211.904128106,0.5029595285013091
2021-09-14,1129929.4183800193,1228510.3930121723,0.5035752270167048
2021-09-15,1134029.8800091282,1238088.357728679,0.5053702156402327
2021-09-16,1133516.8499490325,1245041.073546009,0.5001510793930757
2021-09-17,1129940.1369253267,1238640.630761648,0.4991028619320492
2021-09-20,1119841.975346757,1222114.1359438463,0.49825347405563153
2021-09-21,1127766.487863766,1231968.196929568,0.5107665033000478
2021-09-22,1129496.0418944098,1235615.565486614,0.5024481479431981
2021-09-23,1138414.454963768,1253329.0327784226,0.5063460015945803
2021-09-24,1135875.2276948348,1252216.2762694934,0.5052424475565961
2021-09-27,1132829.7438745017,1251977.2074882782,0.5012132847327416
2021-09-28,1130092.885865314,1244274.4435553374,0.5000053234813879
2021-09-29,1132088.135973182,1243561.5034222654,0.5062770709098529
2021-09-30,1130045.0075772093,1240734.293724412,0.5053844167859878
2021-10-01,1127807.4892564067,1237544.3756332404,0.5017407712323336
2021-10-04,1134128.7930095154,1251326.0871612579,0.5045179231327558
2021-10-05,1136681.866245058,1259482.0353494987,0.5056308132620932
2021-10-06,1126474.424589145,1247484.9682485266,0.49621323311702004
2021-10-07,1131339.4554282147,1260310.485146222,0.5068809913901935
2021-10-08,1132907.6002233517,1266496.5709728803,0.505345645566214
2021-10-11,1136839.2146927475,1271672.9333006954,0.5070563450143917
2021-10-12,1138868.2854851005,1276115.7488934214,0.5052435597353246
2021-10-13,1143554.1579028629,1288438.4968997124,0.5072708931509964
2021-10-14,1150013.9861499039,1299800.945054186,0.500941740436569
2021-10-18,1153437.9861958588,1309436.6243552486,0.5018454409080092
2021-10-19,1147703.5242097976,1298861.2518043856,0.4993564284391637
2021-10-20,1141800.9234438464,1283266.239793393,0.5086147578763321
2021-10-21,1138900.98242071,1276589.7007398172,0.4971053050639279
2021-10-22,1132854.694086608,1269340.2820512552,0.5032485056959713
2021-10-25,1128425.1087989472,1263953.6679872333,0.5012985286052145
2021-10-26,1136845.54290875,1277578.8176366433,0.5049923310804368
2021-10-27,1135588.0181227815,1276317.6291975586,0.4989399549296681
2021-10-28,1121893.5435382007,1252125.558923894,0.5019093775511386
2021-10-29,1118428.9617601633,1243557.39820077,0.5003664313709613
2021-11-01,1127582.600885601,1261344.9204685779,0.5046827380902478
2021-11-02,1126308.515030486,1262329.9321439085,0.4992408241896261
2021-11-03,1128400.229440129,1259700.497528697,0.5001690809875912
2021-11-04,1130995.691058541,1267460.9760461934,0.5013161162736216
2021-11-08,1139995.3127358113,1279268.5590020544,0.502687129725008
2021-11-09,1141076.2426169212,1281065.4385990473,0.500485206254949
2021-11-10,1139318.112159889,1279346.7996940885,0.5083999164477965
2021-11-11,1135090.450088234,1270279.8948065164,0.49868148535936374
2021-11-12,1142756.8329231706,1284119.3209190897,0.502044667748434
2021-11-15,1143148.8990396974,1285240.2878710104,0.49998929565510186
2021-11-16,1141150.3464677841,1279701.2976444159,0.49911360238449487
2021-11-17,1140531.5934050747,1273894.3410970583,0.5042777250581043
2021-11-18,1132537.3462564556,1261332.524309552,0.49927563185057
2021-11-22,1122564.3929979685,1234473.9919326762,0.4948271558877762
2021-11-23,1128772.7208089638,1245280.061832685,0.5074191027376218
2021-11-24,1127539.5814268156,1240227.339116973,0.5012844267002313
2021-11-25,1129671.1991792955,1248807.8959991236,0.5014219010221896
2021-11-26,1109248.325536381,1212260.0749581247,0.49362174427348154
2021-11-29,1109543.3910983584,1208076.9347486312,0.5014258088228991
2021-11-30,1108603.4990977738,1207409.23254655,0.501003109549113
2021-12-01,1113231.3628129023,1218648.1215834594,0.5030775117627234
2021-12-02,1121982.9763736527,1234247.319310487,0.5069535719866987
2021-12-03,1115317.0681518223,1224549.8202033725,0.49705691772225563
2021-12-06,1104881.5865315793,1204936.440304485,0.4993494484911173
2021-12-07,1112929.7937676692,1222752.9406063796,0.5029699278905999
2021-12-08,1122164.7293164672,1242432.2455328146,0.5026838313568373
2021-12-09,1124388.4526617154,1246829.6622054714,0.5009721005993567
2021-12-10,1126022.6565697195,1249170.604392442,0.50169634299239
2021-12-13,1123549.079612741,1241690.407860195,0.4980547341209343
2021-12-14,1121166.1729618043,1239959.4532907496,0.5039706428383453
2021-12-15,1116867.2192784492,1232528.6804055283,0.4981411304698986
2021-12-16,1117489.6623263313,1231156.3290079054,0.4984206664467296
2021-12-17,1108823.780661596,1209453.4718622887,0.49715682222747704
2021-12-20,1096033.999281209,1178753.8205726815,0.49915069003285234
2021-12-21,1103169.2076121247,1191999.7604482514,0.5010889665352347
2021-12-22,1108771.2466626712,1206700.3976349737,0.5022717571231166
2021-12-23,1113646.6941768415,1215907.4435151706,0.5018011903613576
2021-12-24,1111647.8479080233,1208765.1630581904,0.5009053825444758
2021-12-27,1115065.9295623777,1213941.5253860054,0.5037473243276199
2021-12-28,1119744.0506668417,1225501.8291176597,0.5015753989723625
2021-12-29,1119691.6254247047,1225135.0959973847,0.5002154014662408
2021-12-30,1119086.203137627,1223375.2438883916,0.49994501949401904
2021-12-31,1125036.4733767821,1236081.3068900185,0.5035283757476332
2022-01-03,1131163.5984517164,1253258.9220348406,0.5062175921811479
2022-01-04,1135251.0854574153,1262667.848219175,0.5010153480414017
2022-01-05,1139687.6079062908,1269068.2910035357,0.5029577720834822
2022-01-06,1135622.1462206263,1260306.299430187,0.5011783896185691
2022-01-07,1137542.9260507943,1265124.1390807184,0.5021801915992478
2022-01-10,1141595.4033901202,1277240.8210668375,0.5039473706599034
2022-01-11,1142581.9401206172,1280125.7453492468,0.5035968104864834
2022-01-12,1147989.068362176,1291447.060794225,0.5031990419932635
2022-01-13,1151066.0527042034,1295827.9760863602,0.5045270707065591
2022-01-14,1150303.5125367718,1296598.7112985274,0.5041986199921664
2022-01-17,1152983.2054391368,1300790.0619510121,0.5053509311730424
2022-01-18,1142724.2643303177,1283632.972913668,0.49682126160503054
2022-01-19,1138524.086348851,1275340.9084597586,0.5038170103165998
2022-01-20,1136723.5813194304,1266158.5744030746,0.5009875041509352
2022-01-21,1127816.6704372223,1251297.1896217102,0.5069189864489037
2022-01-24,1106829.2383638832,1212659.8108394428,0.5003052073045445
2022-01-25,1110980.101623212,1222563.3759667294,0.5044777896494319
2022-01-27,1104722.3800572352,1209993.3487362317,0.5009973192260507
2022-01-28,1104891.6686907634,1213583.0027087217,0.5010327832321855
2022-01-31,1111833.9763535366,1229919.932886873,0.5006820016053196
2022-02-01,1121289.6193622528,1245972.475858279,0.5048926646303927
2022-02-02,1128518.126726988,1260574.1852564109,0.5037571405574948
2022-02-03,1122127.2116544326,1247596.292196143,0.5009308603130445
2022-02-04,1120405.437537157,1243437.8638101623,0.5001639197943222
2022-02-07,1113254.2298306506,1225728.501739849,0.5001169510896144
2022-02-08,1115374.4886350646,1224611.6400094242,0.5010671982455507
2022-02-09,1122571.691238546,1237742.1507158822,0.5042660322156
2022-02-10,1128329.9547226357,1245642.7702260036,0.5024110220314267
2022-02-11,1120806.2329488457,1227434.7444857818,0.4990708184191659
2022-02-14,1100660.6529732798,1186971.7495560525,0.4995494126025816
2022-02-15,1117411.6231789812,1220366.679993879,0.5070516013260803
2022-02-16,1116627.3512039285,1219076.7550043252,0.4993725135874488
2022-02-17,1116370.7563970846,1217605.3953235731,0.4992574457101861
2022-02-18,1115006.0517248826,1212548.5673863655,0.5076223215189516
2022-02-21,1110375.401096418,1203184.8791330222,0.500013453248657
2022-02-22,1107435.6214234605,1194278.8023346313,0.5075828984079237
2022-02-23,1106723.7110008872,1195754.267236879,0.5004989370299172
2022-02-24,1077683.0871755127,1135480.0368310811,0.4998273327828923
2022-02-25,1095154.7488064377,1169414.92463739,0.5036551200660435
2022-02-28,1103429.0734622264,1179351.4120311807,0.5073770798880063
2022-03-02,1103828.7609896145,1170436.9638007202,0.5036540405103253
2022-03-03,1101137.0320233332,1165174.0698433407,0.4975031126760248
2022-03-04,1091055.3576650154,1145160.9540631347,0.5021259655365699
2022-03-07,1082299.2307391702,1118050.9567460178,0.5039957082496695
2022-03-08,1085514.1420194376,1129796.7198958271,0.5041853855863814
2022-03-09,1093342.0145406243,1152286.6526450545,0.5077352112988799
2022-03-10,1102859.1093727201,1169546.7746924846,0.5023727267676288
2022-03-11,1106066.6359205563,1173515.6384388148,0.5038158158528461
2022-03-14,1110483.107944136,1184845.083832245,0.508110400878036
2022-03-15,1102038.8367454724,1171759.8915513172,0.4960524234788167
2022-03-16,1112860.1054444886,1193681.2108761324,0.5009527268584366
2022-03-17,1122478.9133984437,1213455.2578751228,0.5052291901603265
2022-03-21,1117185.9146670597,1203617.6177753836,0.5020880781539319
2022-03-22,1121536.2787634595,1213648.9277362688,0.5040194451448925
2022-03-23,1120631.2549447548,1211266.852839803,0.5036188903559932
2022-03-24,1121948.8270918238,1211612.9793580608,0.5042018206185912
2022-03-25,1121485.227693153,1207685.409310304,0.5043664740756001
2022-03-28,1124714.649068932,1209675.9587684432,0.505789599047341
2022-03-29,1127515.2243084717,1216768.8155783978,0.5003465642151786
2022-03-30,1130629.2758450995,1227896.380667691,0.5017227416968065
2022-03-31,1129284.6619753216,1227698.52509051,0.5011294541626099
2022-04-01,1135254.8124366254,1243590.320467274,0.5125615415470326
2022-04-04,1143311.2245369542,1268062.672726188,0.5030897087362114
2022-04-05,1146238.417671762,1268581.942998114,0.5034667103072845
2022-04-06,1145323.95750677,1263422.0820508203,0.5030702635980016
2022-04-07,1140747.595143709,1252982.8257656258,0.501076719581396
2022-04-08,1149373.1105959076,1264617.2649678185,0.5030621549996966
2022-04-11,1148578.7211437323,1263224.2264736395,0.5027184587643512
2022-04-12,1141987.2099539174,1249970.1566496175,0.49984816668491944
2022-04-13,1142397.4265930748,1247814.6738808018,0.5000277632065457
2022-04-18,1140562.6118935375,1230299.062166174,0.5083985598592139
2022-04-19,1134094.062177236,1213863.2846939713,0.49711279372133865
2022-04-20,1138081.084215281,1224055.2617549596,0.5075857085428707
2022-04-21,1146319.1962199234,1240841.4319559939,0.502383922272863
2022-04-22,1139053.5587863936,1227727.3421355183,0.49970470443988635
2022-04-25,1128554.982121001,1209441.0757032626,0.5042773083724591
2022-04-26,1137938.1677473378,1228015.8345637594,0.5040007517545533
2022-04-27,1130186.8191675055,1216282.4675729761,0.5005989574641923
2022-04-28,1136560.7215737808,1229297.6296048611,0.5033996292156385
2022-04-29,1130500.3986582574,1218536.797635843,0.4969105791888949
2022-05-02,1127397.8643174618,1214658.6512351122,0.5044493409499018
2022-05-04,1113358.1693212064,1186390.5789835358,0.4936230466360411
2022-05-05,1115752.7152147577,1186567.8279586995,0.19986251922467002
2022-05-06,1114837.8355374404,1165981.8325435075,0.2082902406156995
2022-05-09,1111758.0052212407,1153288.1657009064,0.17920122734813987
2022-05-10,1107455.3470173192,1142094.6755840662,0.1405257487831381
2022-05-11,1106484.9678181799,1135158.5416417972,0.11991479990666877
2022-05-12,1103787.6209460646,1109890.742347203,0.12682383276191755
2022-05-13,1105103.9584334388,1110405.9073976332,0.10953441322348809
2022-05-16,1106546.9103595717,1118623.836381004,0.11835784968912594
2022-05-17,1110021.9394211713,1147872.7345918762,0.13913557603414586
2022-05-18,1109537.685528866,1147225.7194863514,0.1298098152063631
2022-05-19,1107865.0433930457,1116950.5963961144,0.13752238207693418
2022-05-20,1111992.7499624602,1145317.515941742,0.1406387300306042
2022-05-23,1110931.4811315034,1140433.7512636636,0.1487345491493249
2022-05-24,1109450.9125901507,1133134.989422615,0.17463893376606646
2022-05-25,1107912.815248757,1119987.9773356356,0.15597114071655832
2022-05-26,1107842.4251922488,1131099.0410444068,0.15591751283794633
2022-05-27,1109037.8769680443,1143512.425901758,0.1568273644572205
2022-05-30,1111293.2470005113,1166727.7754376226,0.16753710855628992
2022-05-31,1112490.9805192575,1163826.3497746917,0.17753843955027243
2022-06-01,1111881.031506937,1160801.3649941967,0.1802444154501687
2022-06-02,1113201.182030451,1167811.7149015435,0.1724975013517861
2022-06-03,1111510.8202453083,1160389.2329538525,0.17130099367139207
2022-06-06,1112476.172434885,1158427.4200461828,0.16340606644373729
2022-06-07,1112853.672923906,1148659.8906900256,0.16368985453440296
2022-06-08,1111211.2794798505,1144645.7890127045,0.15350801838705105
2022-06-09,1113073.3125396278,1152080.5866248824,0.15492409407303032
2022-06-10,1112216.5710808444,1135978.6200064507,0.16326418599106288
