date,symbol,rupees
2022-09-14,ULTRACEMCO,59742.183186649956
2022-11-14,INFY,60044.83652479
2022-11-15,HINDALCO,60148.605524329
2022-11-17,HCLTECH,59904.08744897462
2022-11-24,APOLLOHOSP,59994.227315180426
2022-11-25,ONGC,59780.36186299471
2022-11-28,APOLLOHOSP,59856.403574631084
2022-11-29,HDFCLIFE,59979.10266965876
2022-11-30,APOLLOHOSP,60409.18390610275
2022-12-01,ONGC,60361.06544936118
2022-12-05,HINDALCO,60191.62686782757
2022-12-06,INFY,60288.45739745333
2022-12-07,HINDALCO,60119.363569611414
2022-12-08,TCS,60293.03022210066
2022-12-09,HINDALCO,59750.4946492001
2022-12-13,HINDALCO,60211.69762710075
2022-12-14,HDFCLIFE,60239.58551338027
2022-12-15,HINDALCO,59767.9839500817
2022-12-21,TATASTEEL,59619.55988404439
2023-04-26,ETERNAL,56947.52132485996
2023-06-20,BAJAJFINSV,59835.89888793771
2023-07-31,ADANIPORTS,
2023-08-10,ADANIPORTS,
2023-08-11,ADANIPORTS,
2023-08-14,ADANIPORTS,
2023-08-25,ADANIPORTS,
2023-08-28,ADANIPORTS,
2023-08-29,ADANIPORTS,
2023-08-30,ADANIPORTS,
2023-08-31,ADANIPORTS,
2023-09-01,ADANIPORTS,
2023-09-04,ADANIPORTS,
2023-09-05,ADANIPORTS,
2023-09-06,ADANIPORTS,
2023-09-07,ADANIPORTS,
2023-09-08,ADANIPORTS,
2023-09-11,ADANIPORTS,
2023-09-12,ADANIPORTS,
2023-09-12,ADANIENT,
2023-09-13,ADANIPORTS,
2023-09-14,ADANIPORTS,
2023-09-15,ADANIPORTS,
2023-09-18,ADANIPORTS,
2023-09-20,ADANIPORTS,
2023-09-21,ADANIPORTS,
2023-09-22,ADANIPORTS,
2023-09-25,ADANIPORTS,
2023-09-26,ADANIPORTS,
2023-09-27,ADANIPORTS,
2023-09-28,ADANIPORTS,
2023-09-29,ADANIPORTS,
2023-10-03,ADANIPORTS,
2023-10-04,ADANIPORTS,
2023-10-05,ADANIPORTS,
2023-10-06,ADANIPORTS,
2023-10-10,ADANIPORTS,
2023-12-04,ADANIPORTS,
2023-12-05,ADANIPORTS,
2023-12-06,ADANIPORTS,
2023-12-06,ADANIENT,
2023-12-07,ADANIPORTS,
2023-12-07,ADANIENT,
2023-12-08,ADANIPORTS,
2023-12-08,ADANIENT,
2023-12-11,ADANIPORTS,
2023-12-11,ADANIENT,
2023-12-12,ADANIPORTS,
2023-12-12,ADANIENT,
2023-12-13,ADANIPORTS,
2023-12-13,ADANIENT,
2023-12-14,ADANIPORTS,
2023-12-14,ADANIENT,
2023-12-15,ADANIPORTS,
2023-12-15,ADANIENT,
2023-12-18,ADANIPORTS,
2023-12-18,ADANIENT,
2023-12-19,ADANIPORTS,
2023-12-19,ADANIENT,
2023-12-20,ADANIPORTS,
2023-12-20,ADANIENT,
2023-12-21,ADANIPORTS,
2023-12-21,ADANIENT,
2023-12-22,ADANIPORTS,
2023-12-22,ADANIENT,
2023-12-26,ADANIPORTS,
2023-12-26,ADANIENT,
2023-12-27,ADANIPORTS,
2023-12-27,ADANIENT,
2023-12-28,ADANIPORTS,
2023-12-28,ADANIENT,
2023-12-29,ADANIPORTS,
2023-12-29,ADANIENT,
2024-01-02,ADANIPORTS,
2024-01-02,ADANIENT,
2024-01-03,ADANIPORTS,
2024-01-03,ADANIENT,
2024-01-04,ADANIPORTS,
2024-01-04,ADANIENT,
2024-01-05,ADANIPORTS,
2024-01-05,ADANIENT,
2024-01-08,ADANIPORTS,
2024-01-08,ADANIENT,
2024-01-09,ADANIPORTS,
2024-01-09,ADANIENT,
2024-01-10,ADANIPORTS,
2024-01-10,ADANIENT,
2024-01-11,ADANIPORTS,
2024-01-11,ADANIENT,
2024-01-12,ADANIPORTS,
2024-01-12,ADANIENT,
2024-01-15,ADANIPORTS,
2024-01-15,ADANIENT,
2024-01-16,ADANIPORTS,
2024-01-16,ADANIENT,
2024-01-17,ADANIPORTS,
2024-01-17,ADANIENT,
2024-01-18,ADANIPORTS,
2024-01-18,ADANIENT,
2024-01-19,ADANIPORTS,
2024-01-19,ADANIENT,
2024-01-23,ADANIPORTS,
2024-01-23,ADANIENT,
2024-01-24,ADANIPORTS,
2024-01-24,ADANIENT,
2024-01-25,ADANIPORTS,
2024-01-25,ADANIENT,
2024-01-29,ADANIPORTS,
2024-01-29,ADANIENT,
2024-01-30,ADANIPORTS,
2024-01-30,ADANIENT,
2024-01-31,ADANIPORTS,
2024-01-31,ADANIENT,
2024-02-01,ADANIPORTS,
2024-02-01,ADANIENT,
2024-02-02,ADANIPORTS,
