date,symbol,decision
2021-04-22,360ONE,EXIT
2021-04-22,ABB,EXIT
2021-04-22,AIAENG,EXIT
2021-04-22,AUBANK,EXIT
2021-04-22,ABBOTINDIA,EXIT
2021-04-22,ACE,EXIT
2021-04-22,ADANIGREEN,EXIT
2021-04-22,ADANIPOWER,EXIT
2021-04-22,ABFRL,EXIT
2021-04-22,ABREL,EXIT
2021-04-22,ALKEM,EXIT
2021-04-22,ANANTRAJ,REDUCE
2021-04-22,ANGELONE,REDUCE
2021-04-22,APOLLOTYRE,EXIT
2021-04-22,ASHOKLEY,EXIT
2021-04-22,ASTERDM,EXIT
2021-04-22,DMART,EXIT
2021-04-22,AXISBANK,EXIT
2021-04-22,BEML,EXIT
2021-04-22,BLS,EXIT
2021-04-22,BSE,EXIT
2021-04-22,BAJAJ-AUTO,EXIT
2021-04-22,BAJFINANCE,EXIT
2021-04-22,BAJAJHLDNG,REDUCE
2021-04-22,BALKRISIND,REDUCE
2021-04-22,BANDHANBNK,EXIT
2021-04-22,BANKBARODA,EXIT
2021-04-22,BANKINDIA,EXIT
2021-04-22,MAHABANK,EXIT
2021-04-22,BATAINDIA,EXIT
2021-04-22,BAYERCROP,EXIT
2021-04-22,BERGEPAINT,EXIT
2021-04-22,BDL,EXIT
2021-04-22,BEL,EXIT
2021-04-22,BHARATFORG,REDUCE
2021-04-22,BHEL,EXIT
2021-04-22,BHARTIARTL,EXIT
2021-04-22,BIOCON,EXIT
2021-04-22,BSOFT,REDUCE
2021-04-22,BBTC,EXIT
2021-04-22,BOSCHLTD,EXIT
2021-04-22,BRIGADE,EXIT
2021-04-22,BRITANNIA,REDUCE
2021-04-22,CCL,REDUCE
2021-04-22,CESC,EXIT
2021-04-22,CGPOWER,EXIT
2021-04-22,CRISIL,EXIT
2021-04-22,CANFINHOME,EXIT
2021-04-22,CANBK,EXIT
2021-04-22,CAPLIPOINT,EXIT
2021-04-22,CASTROLIND,EXIT
2021-04-22,CEATLTD,EXIT
2021-04-22,CENTRALBK,EXIT
2021-04-22,CHALET,EXIT
2021-04-22,CHAMBLFERT,EXIT
2021-04-22,CHENNPETRO,EXIT
2021-04-22,CUB,EXIT
2021-04-22,COALINDIA,EXIT
2021-04-22,COCHINSHIP,REDUCE
2021-04-22,COLPAL,REDUCE
2021-04-22,CAMS,REDUCE
2021-04-22,COROMANDEL,EXIT
2021-04-22,CREDITACC,EXIT
2021-04-22,CROMPTON,EXIT
2021-04-22,DLF,EXIT
2021-04-22,DRREDDY,REDUCE
2021-04-22,EIDPARRY,REDUCE
2021-04-22,EIHOTEL,EXIT
2021-04-22,EICHERMOT,EXIT
2021-04-22,ENDURANCE,REDUCE
2021-04-22,ENGINERSIN,EXIT
2021-04-22,ESCORTS,EXIT
2021-04-22,EXIDEIND,EXIT
2021-04-22,FEDERALBNK,EXIT
2021-04-22,FACT,EXIT
2021-04-22,FINCABLES,EXIT
2021-04-22,FORCEMOT,EXIT
2021-04-22,GVT&D,EXIT
2021-04-22,GMRAIRPORT,EXIT
2021-04-22,GABRIEL,EXIT
2021-04-22,GRSE,EXIT
2021-04-22,GILLETTE,EXIT
2021-04-22,GLAND,REDUCE
2021-04-22,GLAXO,EXIT
2021-04-22,GODFRYPHLP,EXIT
2021-04-22,GODREJCP,EXIT
2021-04-22,GODREJPROP,EXIT
2021-04-22,GRANULES,EXIT
2021-04-22,GRAVITA,EXIT
2021-04-22,GESHIP,REDUCE
2021-04-22,GMDCLTD,EXIT
2021-04-22,GSPL,EXIT
2021-04-22,HDFCAMC,EXIT
2021-04-22,HDFCBANK,EXIT
2021-04-22,HDFCLIFE,REDUCE
2021-04-22,HFCL,EXIT
2021-04-22,HAVELLS,EXIT
2021-04-22,HEROMOTOCO,EXIT
2021-04-22,HSCL,EXIT
2021-04-22,HAL,EXIT
2021-04-22,HOMEFIRST,REDUCE
2021-04-22,HUDCO,EXIT
2021-04-22,ICICIBANK,EXIT
2021-04-22,ICICIGI,EXIT
2021-04-22,IDBI,EXIT
2021-04-22,IDFCFIRSTB,EXIT
2021-04-22,IFCI,EXIT
2021-04-22,IIFL,EXIT
2021-04-22,IRB,EXIT
2021-04-22,IRCON,EXIT
2021-04-22,ITC,REDUCE
2021-04-22,ITI,EXIT
2021-04-22,INDIACEM,REDUCE
2021-04-22,INDIAMART,EXIT
2021-04-22,INDIANB,EXIT
2021-04-22,INDHOTEL,EXIT
2021-04-22,IOC,REDUCE
2021-04-22,IOB,EXIT
2021-04-22,IRCTC,EXIT
2021-04-22,IRFC,REDUCE
2021-04-22,IGL,REDUCE
2021-04-22,INDUSINDBK,EXIT
2021-04-22,NAUKRI,REDUCE
2021-04-22,INDIGO,EXIT
2021-04-22,IPCALAB,REDUCE
2021-04-22,JBMA,EXIT
2021-04-22,JKTYRE,EXIT
2021-04-22,JMFINANCIL,EXIT
2021-04-22,JPPOWER,EXIT
2021-04-22,J&KBANK,EXIT
2021-04-22,JINDALSAW,EXIT
2021-04-22,JSL,EXIT
2021-04-22,JUBLFOOD,REDUCE
2021-04-22,JUBLPHARMA,EXIT
2021-04-22,JWL,EXIT
2021-04-22,KEI,REDUCE
2021-04-22,KAJARIACER,REDUCE
2021-04-22,KARURVYSYA,EXIT
2021-04-22,KEC,EXIT
2021-04-22,KOTAKBANK,EXIT
2021-04-22,LTF,EXIT
2021-04-22,LTTS,REDUCE
2021-04-22,LICHSGFIN,EXIT
2021-04-22,LT,EXIT
2021-04-22,LEMONTREE,EXIT
2021-04-22,MMTC,EXIT
2021-04-22,MRF,EXIT
2021-04-22,MGL,REDUCE
2021-04-22,M&MFIN,EXIT
2021-04-22,M&M,EXIT
2021-04-22,MANAPPURAM,EXIT
2021-04-22,MRPL,EXIT
2021-04-22,MARUTI,EXIT
2021-04-22,MAXHEALTH,REDUCE
2021-04-22,MAZDOCK,REDUCE
2021-04-22,MINDACORP,REDUCE
2021-04-22,MOTILALOFS,EXIT
2021-04-22,MCX,EXIT
2021-04-22,MUTHOOTFIN,EXIT
