date,symbol,decision,reason
2021-04-22,TRENT,EXIT,exposure_floor
2021-04-23,TRENT,EXIT,exposure_floor
2021-04-26,SHRIRAMFIN,REDUCE,exposure_floor
2021-04-26,TECHM,REDUCE,exposure_floor
2021-04-26,TRENT,EXIT,exposure_floor
2021-04-27,SHRIRAMFIN,REDUCE,exposure_floor
2021-04-27,TECHM,REDUCE,exposure_floor
2021-04-27,TRENT,EXIT,exposure_floor
2021-04-28,TECHM,REDUCE,exposure_floor
2021-04-28,TRENT,EXIT,exposure_floor
2021-04-29,TECHM,REDUCE,exposure_floor
2021-04-29,TRENT,EXIT,exposure_floor
2021-04-30,TECHM,REDUCE,exposure_floor
2021-04-30,TRENT,EXIT,exposure_floor
2021-05-03,TITAN,REDUCE,exposure_floor
2021-05-03,TRENT,EXIT,exposure_floor
2021-05-04,TRENT,EXIT,exposure_floor
2021-05-06,POWERGRID,REDUCE,exposure_floor
2021-05-06,TRENT,EXIT,exposure_floor
2021-05-07,POWERGRID,REDUCE,exposure_floor
2021-05-07,TRENT,EXIT,exposure_floor
2021-05-10,TATACONSUM,REDUCE,exposure_floor
2021-05-10,TRENT,EXIT,exposure_floor
2021-05-11,TRENT,EXIT,exposure_floor
2021-05-12,NESTLEIND,EXIT,exposure_floor
2021-05-12,TECHM,REDUCE,exposure_floor
2021-05-12,TRENT,EXIT,exposure_floor
2021-05-14,TECHM,REDUCE,exposure_floor
2021-05-14,TRENT,EXIT,exposure_floor
2021-05-17,TRENT,EXIT,exposure_floor
2021-05-19,ITC,REDUCE,exposure_floor
2021-05-19,ULTRACEMCO,REDUCE,exposure_floor
2021-05-20,ITC,REDUCE,exposure_floor
2021-05-20,INFY,REDUCE,exposure_floor
2021-05-21,GRASIM,REDUCE,exposure_floor
2021-05-21,ITC,REDUCE,exposure_floor
2021-05-21,INFY,REDUCE,exposure_floor
2021-05-21,TCS,REDUCE,exposure_floor
2021-05-24,GRASIM,REDUCE,exposure_floor
2021-05-24,ITC,REDUCE,exposure_floor
2021-05-24,INFY,REDUCE,exposure_floor
2021-05-25,GRASIM,REDUCE,exposure_floor
2021-05-25,ITC,REDUCE,exposure_floor
2021-05-25,INFY,REDUCE,exposure_floor
2021-05-25,ULTRACEMCO,REDUCE,exposure_floor
2021-05-26,GRASIM,REDUCE,exposure_floor
2021-05-26,ULTRACEMCO,REDUCE,exposure_floor
2021-05-27,GRASIM,REDUCE,exposure_floor
2021-05-27,ULTRACEMCO,REDUCE,exposure_floor
2021-05-28,ULTRACEMCO,REDUCE,exposure_floor
2021-05-31,ULTRACEMCO,REDUCE,exposure_floor
2021-06-01,HINDUNILVR,REDUCE,exposure_floor
2021-06-01,ULTRACEMCO,REDUCE,exposure_floor
2021-06-02,HINDUNILVR,REDUCE,exposure_floor
2021-06-03,HINDUNILVR,REDUCE,exposure_floor
2021-06-16,ADANIPORTS,EXIT,exposure_floor
2021-06-17,ADANIENT,EXIT,exposure_floor
2021-06-17,ADANIPORTS,EXIT,exposure_floor
2021-06-17,HINDALCO,REDUCE,exposure_floor
2021-06-18,ADANIENT,REDUCE,exposure_floor
2021-06-18,ADANIPORTS,EXIT,exposure_floor
2021-06-25,JSWSTEEL,REDUCE,exposure_floor
2021-06-28,JSWSTEEL,REDUCE,exposure_floor
2021-06-29,JSWSTEEL,REDUCE,exposure_floor
2021-06-30,JSWSTEEL,REDUCE,exposure_floor
2021-07-01,JSWSTEEL,REDUCE,exposure_floor
2021-07-02,ADANIENT,EXIT,exposure_floor
2021-07-02,JSWSTEEL,REDUCE,exposure_floor
2021-07-05,ADANIENT,EXIT,exposure_floor
2021-07-05,JSWSTEEL,REDUCE,exposure_floor
2021-07-06,ADANIENT,REDUCE,exposure_floor
2021-07-06,JSWSTEEL,REDUCE,exposure_floor
2021-07-06,POWERGRID,REDUCE,exposure_floor
